fips,state_alpha,countyname,areaname,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
08001,NA,Adams County,NA,1643,1754,2089,2734,3049
08003,NA,Alamosa County,NA,766,833,999,1389,1676
08005,NA,Arapahoe County,NA,1643,1754,2089,2734,3049
08007,NA,Archuleta County,NA,1134,1141,1337,1859,2243
08009,NA,Baca County,NA,746,771,973,1353,1525
08011,NA,Bent County,NA,772,777,1019,1417,1598
08013,NA,Boulder County,NA,1553,1795,2124,2820,3239
08014,NA,Broomfield County,NA,1643,1754,2089,2734,3049
08015,NA,Chaffee County,NA,1110,1117,1466,2039,2298
08017,NA,Cheyenne County,NA,790,796,1044,1343,1637
08019,NA,Clear Creek County,NA,1643,1754,2089,2734,3049
08021,NA,Conejos County,NA,746,865,973,1332,1336
08023,NA,Costilla County,NA,737,742,973,1353,1525
08025,NA,Crowley County,NA,976,982,1289,1546,2021
08027,NA,Custer County,NA,853,856,1112,1333,1743
08029,NA,Delta County,NA,854,865,1114,1537,1869
08031,NA,Denver County,NA,1643,1754,2089,2734,3049
08033,NA,Dolores County,NA,855,1017,1115,1423,1748
08035,NA,Douglas County,NA,1643,1754,2089,2734,3049
08037,NA,Eagle County,NA,1640,1813,2379,2852,3688
08039,NA,Elbert County,NA,1643,1754,2089,2734,3049
08041,NA,El Paso County,NA,1196,1464,1735,2413,2744
08043,NA,Fremont County,NA,942,948,1244,1593,1647
08045,NA,Garfield County,NA,1215,1223,1605,2232,2391
08047,NA,Gilpin County,NA,1643,1754,2089,2734,3049
08049,NA,Grand County,NA,1107,1318,1475,1769,2474
08051,NA,Gunnison County,NA,1015,1149,1334,1855,2238
08053,NA,Hinsdale County,NA,867,873,1145,1461,1795
08055,NA,Huerfano County,NA,698,811,1013,1215,1588
08057,NA,Jackson County,NA,749,754,989,1262,1551
08059,NA,Jefferson County,NA,1643,1754,2089,2734,3049
08061,NA,Kiowa County,NA,868,873,1146,1463,1797
08063,NA,Kit Carson County,NA,828,833,1093,1311,1714
08065,NA,Lake County,NA,1017,1024,1343,1714,2106
08067,NA,La Plata County,NA,1181,1211,1589,1942,2288
08069,NA,Larimer County,NA,1509,1537,1732,2385,2540
08071,NA,Las Animas County,NA,796,880,1155,1425,1529
08073,NA,Lincoln County,NA,769,774,1016,1413,1593
08075,NA,Logan County,NA,769,839,1101,1452,1458
08077,NA,Mesa County,NA,881,986,1249,1737,2095
08079,NA,Mineral County,NA,1017,1024,1343,1714,2106
08081,NA,Moffat County,NA,881,887,1164,1396,1614
08083,NA,Montezuma County,NA,852,906,1180,1569,1850
08085,NA,Montrose County,NA,884,890,1168,1624,1959
08087,NA,Morgan County,NA,878,884,1160,1606,1824
08089,NA,Otero County,NA,737,742,973,1303,1632
08091,NA,Ouray County,NA,1170,1245,1526,2122,2392
08093,NA,Park County,NA,1643,1754,2089,2734,3049
08095,NA,Phillips County,NA,798,803,1054,1345,1652
08097,NA,Pitkin County,NA,1526,2020,2214,2826,3471
08099,NA,Prowers County,NA,746,888,973,1249,1542
08101,NA,Pueblo County,NA,875,967,1269,1617,1893
08103,NA,Rio Blanco County,NA,764,769,1009,1285,1582
08105,NA,Rio Grande County,NA,839,976,1094,1312,1715
08107,NA,Routt County,NA,1726,1845,2022,2424,3170
08109,NA,Saguache County,NA,748,797,975,1295,1529
08111,NA,San Juan County,NA,945,1119,1227,1509,1924
08113,NA,San Miguel County,NA,1245,1254,1645,2288,2579
08115,NA,Sedgwick County,NA,746,759,973,1167,1525
08117,NA,Summit County,NA,1701,1880,2467,2958,3268
08119,NA,Teller County,NA,1029,1362,1493,2076,2505
08121,NA,Washington County,NA,854,856,1114,1336,1475
08123,NA,Weld County,NA,1171,1238,1563,2174,2590
08125,NA,Yuma County,NA,803,809,1061,1361,1405
09110,NA,Capitol Planning Region,NA,1286,1477,1865,2236,2537
09120,NA,Greater Bridgeport Planning Region,NA,1731,2100,2511,3036,3598
09130,NA,Lower Connecticut River Valley Planning Region,NA,1286,1477,1865,2236,2539
09140,NA,Naugatuck Valley Planning Region,NA,1279,1445,1788,2210,2864
09150,NA,Northeastern Connecticut Planning Region,NA,1104,1304,1601,2062,2451
09160,NA,Northwest Hills Planning Region,NA,1114,1316,1616,2082,2348
09170,NA,South Central Connecticut Planning Region,NA,1372,1591,1969,2433,2872
09180,NA,Southeastern Connecticut Planning Region,NA,1287,1496,1866,2406,2988
09190,NA,Western Connecticut Planning Region,NA,1731,2100,2511,3036,3598
10001,NA,Kent County,NA,1158,1165,1470,2044,2285
10003,NA,New Castle County,NA,1397,1520,1810,2170,2423
10005,NA,Sussex County,NA,1059,1066,1399,1757,2172
11001,NA,District of Columbia,NA,1953,2015,2246,2835,3332
12001,NA,Alachua County,NA,1154,1246,1493,1868,1977
12003,NA,Baker County,NA,903,922,1103,1512,1708
12005,NA,Bay County,NA,1426,1480,1682,2169,2689
12007,NA,Bradford County,NA,976,1022,1120,1433,1879
12009,NA,Brevard County,NA,1266,1478,1709,2330,2645
12011,NA,Broward County,NA,1737,1900,2333,3216,3810
12013,NA,Calhoun County,NA,848,888,973,1283,1288
12015,NA,Charlotte County,NA,1159,1167,1470,2041,2326
12017,NA,Citrus County,NA,981,988,1225,1704,2016
12019,NA,Clay County,NA,1355,1382,1658,2043,2561
12021,NA,Collier County,NA,1396,1797,1986,2581,2805
12023,NA,Columbia County,NA,990,1034,1318,1580,1745
12027,NA,DeSoto County,NA,1053,1060,1209,1663,1865
12029,NA,Dixie County,NA,875,881,1156,1525,1531
12031,NA,Duval County,NA,1355,1382,1658,2043,2561
12033,NA,Escambia County,NA,1112,1257,1471,1952,2380
12035,NA,Flagler County,NA,1278,1433,1806,2468,2797
12037,NA,Franklin County,NA,1033,1058,1186,1564,1570
12039,NA,Gadsden County,NA,1097,1204,1352,1674,1790
12041,NA,Gilchrist County,NA,1154,1246,1493,1868,1977
12043,NA,Glades County,NA,1091,1117,1252,1516,1658
12045,NA,Gulf County,NA,1289,1297,1702,2041,2253
12047,NA,Hamilton County,NA,855,875,981,1294,1299
12049,NA,Hardee County,NA,1058,1064,1248,1691,2094
12051,NA,Hendry County,NA,1071,1077,1271,1567,1875
12053,NA,Hernando County,NA,1593,1696,1977,2527,3077
12055,NA,Highlands County,NA,876,1006,1271,1538,2017
12057,NA,Hillsborough County,NA,1593,1696,1977,2527,3077
12059,NA,Holmes County,NA,939,983,1078,1423,1427
12061,NA,Indian River County,NA,1214,1222,1604,1956,2691
12063,NA,Jackson County,NA,736,814,1068,1404,1414
12065,NA,Jefferson County,NA,1097,1204,1352,1674,1790
12067,NA,Lafayette County,NA,1152,1181,1323,1586,1752
12069,NA,Lake County,NA,1650,1731,1972,2476,2924
12071,NA,Lee County,NA,1629,1638,1961,2560,2836
12073,NA,Leon County,NA,1097,1204,1352,1674,1790
12075,NA,Levy County,NA,735,831,974,1238,1290
12077,NA,Liberty County,NA,943,966,1083,1488,1817
12079,NA,Madison County,NA,873,969,1086,1400,1543
12081,NA,Manatee County,NA,1418,1686,1958,2537,3027
12083,NA,Marion County,NA,1126,1172,1373,1772,1905
12085,NA,Martin County,NA,1455,1467,1757,2421,2579
12086,NA,Miami-Dade County,NA,1828,1995,2436,3127,3613
12087,NA,Monroe County,NA,1726,2211,2504,3303,3315
12089,NA,Nassau County,NA,1355,1382,1658,2043,2561
12091,NA,Okaloosa County,NA,1362,1581,1785,2448,2979
