year,title,id,nominees_or_winner,imdb_url,producers
2010,Avatar,tt0499549,nominee,https://www.imdb.com/title/tt0499549/,Twentieth Century Fox|Dune Entertainment|Lightstorm Entertainment
2010,District 9,tt1136608,nominee,https://www.imdb.com/title/tt1136608/,TriStar Pictures|Block / Hanson|WingNut Films|Canadian Film or Video Production Tax Credit|Covert Media
2010,Inglourious Basterds,tt0361748,nominee,https://www.imdb.com/title/tt0361748/,Universal Pictures|The Weinstein Company|A Band Apart|Studio Babelsberg|Visiona Romantica
2010,Precious,tt0929632,nominee,https://www.imdb.com/title/tt0929632/,Lee Daniels Entertainment|Smokewood Entertainment Group|Lionsgate
2010,The Blind Side,tt0878804,nominee,https://www.imdb.com/title/tt0878804/,Alcon Entertainment|3 Arts Entertainment|Left Tackle Pictures|Netter Productions|Zucker/Netter Productions
2010,Up,tt1049413,nominee,https://www.imdb.com/title/tt1049413/,Walt Disney Pictures|Pixar Animation Studios
2010,Up in the Air,tt1193138,nominee,https://www.imdb.com/title/tt1193138/,Paramount Pictures|Cold Spring Pictures|DW Studios|The Montecito Picture Company|Rickshaw Productions
2009,Slumdog Millionaire,tt1010048,winner,https://www.imdb.com/title/tt1010048/,Searchlight Pictures|Warner Bros.|Film4|Pathé|Celador Films
2009,The Curious Case of Benjamin Button,tt0421715,nominee,https://www.imdb.com/title/tt0421715/,Warner Bros.|Paramount Pictures|The Kennedy/Marshall Company
2009,Frost/Nixon,tt0870111,nominee,https://www.imdb.com/title/tt0870111/,Universal Pictures|Imagine Entertainment|Working Title Films|StudioCanal|Relativity Media
2009,Milk,tt1013753,nominee,https://www.imdb.com/title/tt1013753/,Focus Features|Axon Films|Groundswell Productions|Jinks/Cohen Company|Cinema Vehicles
2009,The Reader,tt0976051,nominee,https://www.imdb.com/title/tt0976051/,The Weinstein Company|Mirage Enterprises|Studio Babelsberg|Filmförderungsanstalt|Deutscher Filmförderfonds
2008,No Country for Old Men,tt0477348,winner,https://www.imdb.com/title/tt0477348/,Paramount Vantage|Miramax|Scott Rudin Productions|Mike Zoss Productions
2008,Atonement,tt0783233,nominee,https://www.imdb.com/title/tt0783233/,Universal Pictures|StudioCanal|Relativity Media|Working Title Films
2008,Juno,tt0467406,nominee,https://www.imdb.com/title/tt0467406/,Fox Searchlight Pictures|Mandate Pictures|Mr. Mudd
2008,Michael Clayton,tt0465538,nominee,https://www.imdb.com/title/tt0465538/,Samuels Media|Castle Rock Entertainment|Mirage Enterprises|Section Eight
2008,There Will Be Blood,tt0469494,nominee,https://www.imdb.com/title/tt0469494/,Paramount Vantage|Miramax|Ghoulardi Film Company
2007,The Departed,tt0407887,winner,https://www.imdb.com/title/tt0407887/,Warner Bros.|Plan B Entertainment|Initial Entertainment Group|Vertigo Entertainment|Media Asia Films
2007,Babel,tt0449467,nominee,https://www.imdb.com/title/tt0449467/,Paramount Pictures|Paramount Vantage|Anonymous Content|Zeta Film|Central Films
2007,Letters from Iwo Jima,tt0498380,nominee,https://www.imdb.com/title/tt0498380/,DreamWorks Pictures|Warner Bros.|Malpaso Productions|Amblin Entertainment
2007,Little Miss Sunshine,tt0449059,nominee,https://www.imdb.com/title/tt0449059/,Searchlight Pictures|Big Beach|Bona Fide Productions|Deep River Productions|Third Gear Productions
2007,The Queen,tt0436697,nominee,https://www.imdb.com/title/tt0436697/,Pathé International|Pathé|Granada Film Productions|Pathé Renn Productions|BIM Distribuzione
2006,Crash,tt0375679,winner,https://www.imdb.com/title/tt0375679/,Bob Yari Productions|DEJ Productions|Blackfriars Bridge Films|Harris Company|ApolloProScreen Filmproduktion
2006,Brokeback Mountain,tt0388795,nominee,https://www.imdb.com/title/tt0388795/,Focus Features|River Road Entertainment|Alberta Film Entertainment
2006,Capote,tt0379725,nominee,https://www.imdb.com/title/tt0379725/,United Artists|Sony Pictures Classics|A-Line Pictures|Cooper's Town Productions|Infinity Media
2006,"Good Night, and Good Luck.",tt0433383,nominee,https://www.imdb.com/title/tt0433383/,Warner Independent Pictures|2929 Productions|Participant|Davis Films|Redbus Pictures
2006,Munich,tt0408306,nominee,https://www.imdb.com/title/tt0408306/,DreamWorks Pictures|Universal Pictures|Amblin Entertainment|The Kennedy/Marshall Company|Barry Mendel Productions
2005,Million Dollar Baby,tt0405159,winner,https://www.imdb.com/title/tt0405159/,Warner Bros.|Lakeshore Entertainment|Malpaso Productions|Ruddy Productions|Epsilon Motion Pictures
2005,The Aviator,tt0338751,nominee,https://www.imdb.com/title/tt0338751/,Forward Pass|Appian Way|IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG|Initial Entertainment Group|Warner Bros.
2005,Finding Neverland,tt0308644,nominee,https://www.imdb.com/title/tt0308644/,Miramax|FilmColony|Keylight Productions
2005,Ray,tt0350258,nominee,https://www.imdb.com/title/tt0350258/,Universal Pictures|Bristol Bay Productions|Anvil Films|Baldwin Entertainment Group|Walden Media
2005,Sideways,tt0375063,nominee,https://www.imdb.com/title/tt0375063/,Fox Searchlight Pictures|Michael London Productions|Sideways Productions Inc.
2004,The Lord of the Rings: The Return of the King,tt0167260,winner,https://www.imdb.com/title/tt0167260/,New Line Cinema|WingNut Films|The Saul Zaentz Company
2004,Lost in Translation,tt0335266,nominee,https://www.imdb.com/title/tt0335266/,Focus Features|Tohokushinsha Film Corporation|American Zoetrope|Elemental Films
2004,Master and Commander: The Far Side of the World,tt0311113,nominee,https://www.imdb.com/title/tt0311113/,Twentieth Century Fox|Miramax|Universal Pictures|Samuel Goldwyn Films
2004,Mystic River,tt0327056,nominee,https://www.imdb.com/title/tt0327056/,Warner Bros.|Village Roadshow Pictures|NPV Entertainment|Malpaso Productions
2004,Seabiscuit,tt0329575,nominee,https://www.imdb.com/title/tt0329575/,Universal Pictures|DreamWorks Pictures|Spyglass Entertainment|Larger Than Life Productions|The Kennedy/Marshall Company
2003,Chicago,tt0299658,winner,https://www.imdb.com/title/tt0299658/,Miramax|Producers Circle|Storyline Entertainment|Kalis Productions GmbH & Co. KG
2003,Gangs of New York,tt0217505,nominee,https://www.imdb.com/title/tt0217505/,Miramax|Initial Entertainment Group|Touchstone Pictures|Alberto Grimaldi Productions
