season,episode,title,rating,votes,episode_year
22,20,Homer Scissorhands,7.1,1496,2011
22,21,500 Keys,7.3,1587,2011
22,22,The Ned-Liest Catch,7,1532,2011
23,1,The Falcon and the D'Ohman,7,1760,2011
23,2,Bart Stops to Smell the Roosevelts,7,1610,2011
23,3,Treehouse of Horror XXII,6.4,1928,2011
23,4,Replaceable You,6.4,1419,2011
23,5,The Food Wife,7.1,1613,2011
23,6,The Book Job,7.9,2102,2011
23,7,The Man in the Blue Flannel Pants,6.6,1378,2011
23,8,The Ten-Per-Cent Solution,6.1,1356,2011
23,9,Holidays of Future Passed,8.3,2617,2011
23,10,"Politically Inept, with Homer Simpson",6,1519,2012
23,11,The D'oh-cial Network,6.9,1557,2012
23,12,Moe Goes from Rags to Riches,5.7,1628,2012
23,13,The Daughter Also Rises,6.3,1394,2012
23,14,At Long Last Leave,6.9,1586,2012
23,15,Exit Through the Kwik-E-Mart,6.8,1352,2012
23,16,How I Wet Your Mother,7.3,1607,2012
23,17,"Them, Robot",6.9,1509,2012
23,18,Beware My Cheating Bart,7.1,1470,2012
23,19,A Totally Fun Thing Bart Will Never Do Again,7.6,1825,2012
23,20,The Spy Who Learned Me,6.7,1292,2012
23,21,Ned 'N Edna's Blend Agenda,6.6,1378,2012
23,22,Lisa Goes Gaga,4,3722,2012
24,1,Moonshine River,6.3,1678,2012
24,2,Treehouse of Horror XXIII,7.2,1832,2012
24,3,Adventures in Baby-Getting,6.8,1393,2012
24,4,Gone Abie Gone,6.7,1335,2012
24,5,Penny-Wiseguys,6.3,1327,2012
24,6,A Tree Grows in Springfield,6.3,1344,2012
24,7,The Day the Earth Stood Cool,6.9,1506,2012
24,8,To Cur with Love,7.2,1395,2012
24,9,Homer Goes to Prep School,6.7,1293,2013
24,10,A Test Before Trying,6.9,1333,2013
24,11,Changing of the Guardian,6.4,1309,2013
24,12,Love Is a Many Splintered Thing,6.1,1394,2013
24,13,Hardly Kirk-ing,7,1350,2013
24,14,Gorgeous Grampa,6.2,1371,2013
24,15,"Black-Eyed, Please",6.9,1378,2013
24,16,Dark Knight Court,7.1,1398,2013
24,17,What Animated Women Want,6.4,1323,2013
24,18,Pulpit Friction,6.4,1295,2013
24,19,Whiskey Business,6.7,1218,2013
